N,P,K,ph,temperature,humidity,rainfall,soil,label
109.16,28.85,64.64,6.85,30.32,75.31,133.1,alluvial,mustard
84.17,38.8,56.3,6.41,27.49,76.8,152.76,alluvial,mustard
104.63,34.12,56.95,6.51,30.11,77.39,108.12,new alluvial,mustard
99.54,30.66,71.24,6.81,28.3,81.4,126.16,new alluvial,mustard
94.58,26.3,50.9,6.17,31.12,86.19,153.1,alluvial,mustard
97.94,27.04,44.49,6.58,30.65,73.07,111.05,alluvial,mustard
94.49,30.11,61.29,6.74,31.45,73.61,133.07,alluvial,mustard
81.76,25.35,61.6,6.96,29.93,77.46,179.3,new alluvial,mustard
95.2,29.54,47.31,6.61,30.15,83.21,133.92,new alluvial,mustard
127.11,28.14,66.9,6.59,28.51,73.28,139.18,alluvial,mustard
87.97,22.2,64.81,6.49,32.89,77.36,124.29,new alluvial,mustard
85.16,28.96,57.44,6.07,29.54,74.78,139.14,alluvial,mustard
94.14,35.32,76.34,6.28,30.36,76.26,156.52,alluvial,mustard
96.31,31.12,47.34,6.91,28.6,77.75,158.93,new alluvial,mustard
98.22,34.87,65.72,6.5,31.49,84.35,135.06,new alluvial,mustard
99.71,33.9,53.5,6.73,31.06,76.67,147.4,new alluvial,mustard
96.72,24.16,70.64,7.05,33.21,84.65,131.69,new alluvial,mustard
121.91,35.36,71.11,6.47,30.07,79.39,160.64,new alluvial,mustard
108.12,21.97,61.12,6.95,29.38,83.24,157.03,new alluvial,mustard
97.76,41.21,74.18,6.93,29.77,80.44,137.43,alluvial,mustard
93.79,26.23,68.5,6.42,29.68,85.19,137.25,new alluvial,mustard
99.35,31.4,79.11,6.86,31.62,66.44,90.83,new alluvial,mustard
109.6,37.35,78.25,6.57,28.76,77.8,164.65,alluvial,mustard
97.63,24.42,72.19,6.38,31.73,79.67,140.05,alluvial,mustard
123.61,38.81,22.48,6.46,25.14,80.99,186.87,new alluvial,mustard
97.79,27.83,69.2,6.72,29.67,82.1,158.49,alluvial,mustard
111.28,28.56,50.94,6.37,31.23,83.61,148.59,alluvial,mustard
92.69,32.59,59.3,6.66,31.84,81.56,148.0,alluvial,mustard
93.29,35.63,57.8,6.74,30.33,75.9,145.2,new alluvial,mustard
96.06,32.2,74.0,6.31,28.72,73.35,103.38,alluvial,mustard
99.83,28.86,73.76,6.84,30.59,85.35,109.4,new alluvial,mustard
88.53,29.45,58.87,6.62,30.34,80.32,78.7,new alluvial,mustard
99.68,22.06,66.47,7.3,32.17,80.45,149.8,new alluvial,mustard
118.17,30.91,53.74,6.38,29.4,80.24,184.22,alluvial,mustard
112.39,17.61,67.06,6.95,29.56,76.79,86.26,alluvial,mustard
98.01,27.65,69.2,6.38,33.23,75.21,153.07,new alluvial,mustard
97.72,24.31,44.9,6.5,29.48,87.34,144.34,new alluvial,mustard
99.78,38.42,56.58,6.07,28.06,76.74,149.2,alluvial,mustard
89.18,35.31,39.82,6.56,30.29,72.87,144.67,new alluvial,mustard
83.79,30.01,65.5,6.94,30.08,73.73,119.43,new alluvial,mustard
76.03,26.26,47.43,6.74,29.85,72.79,127.49,new alluvial,mustard
106.34,33.66,59.41,6.81,31.63,87.81,168.84,new alluvial,mustard
104.99,24.02,56.97,6.44,33.11,74.89,125.35,alluvial,mustard
96.12,28.98,76.41,6.83,31.04,81.82,132.68,new alluvial,mustard
97.28,26.64,54.66,6.9,31.72,78.14,117.56,alluvial,mustard
58.78,37.62,33.02,7.29,30.46,95.08,163.71,alluvial,mustard
101.33,31.14,56.91,6.95,31.0,88.4,104.04,alluvial,mustard
91.68,25.53,48.84,6.42,32.69,81.29,143.88,new alluvial,mustard
118.49,31.3,61.84,7.39,27.59,83.45,140.38,peat,mustard
85.6,33.85,67.29,6.78,29.73,72.08,144.36,alluvial,mustard
96.77,22.95,53.49,6.61,29.52,77.15,97.59,new alluvial,mustard
78.97,27.51,72.96,6.73,30.09,79.79,137.78,new alluvial,mustard
94.18,22.43,51.33,6.65,30.47,68.14,103.55,new alluvial,mustard
100.94,43.86,56.78,6.47,30.44,74.33,157.46,alluvial,mustard
85.76,32.96,65.8,6.42,28.16,75.85,138.19,new alluvial,mustard
86.79,26.6,55.17,6.9,29.89,75.92,171.52,new alluvial,mustard
89.41,21.9,60.75,6.43,30.71,72.92,114.4,alluvial,mustard
99.95,30.22,48.81,6.69,31.4,80.85,133.99,new alluvial,mustard
98.85,24.24,66.22,6.95,28.07,83.93,136.0,alluvial,mustard
107.77,36.19,63.93,6.55,30.72,88.26,143.4,new alluvial,mustard
95.72,37.51,55.17,6.69,30.91,77.62,103.3,new alluvial,mustard
96.64,33.25,53.33,7.11,27.34,82.39,150.69,new alluvial,mustard
106.74,29.47,55.61,6.94,29.64,85.51,135.56,new alluvial,mustard
118.4,25.84,57.79,6.35,32.97,75.3,158.44,new alluvial,mustard
102.09,23.61,32.67,6.72,27.72,76.44,111.3,alluvial,mustard
97.67,30.08,71.13,6.68,33.44,80.13,115.87,new alluvial,mustard
89.11,30.35,51.63,7.18,27.65,83.32,174.88,new alluvial,mustard
93.12,25.38,81.16,6.57,30.45,74.56,112.84,alluvial,mustard
119.18,30.61,71.31,7.02,32.5,80.99,146.8,new alluvial,mustard
91.47,19.04,79.65,6.93,31.42,81.83,146.95,new alluvial,mustard
112.91,21.84,55.52,6.66,28.73,73.01,131.69,new alluvial,mustard
100.15,7.58,84.76,6.28,30.44,90.9,187.49,clay loam,mustard
81.73,38.42,80.02,7.05,31.99,83.9,116.19,alluvial,mustard
91.26,30.15,67.47,6.68,27.82,83.12,153.37,new alluvial,mustard
90.5,39.38,65.3,7.06,31.56,76.56,136.68,new alluvial,mustard
97.83,20.68,61.6,6.23,29.7,84.79,104.32,new alluvial,mustard
114.47,31.62,68.54,6.79,30.8,83.16,108.35,new alluvial,mustard
101.03,22.47,72.9,6.51,33.02,77.09,96.26,new alluvial,mustard
114.03,22.43,76.79,6.69,31.41,73.52,132.07,new alluvial,mustard
119.61,22.5,54.2,6.84,38.23,93.73,210.15,alluvial,mustard
100.86,24.56,41.01,6.65,31.51,80.89,155.68,new alluvial,mustard
111.81,26.87,65.28,6.53,31.46,84.29,121.64,new alluvial,mustard
110.64,30.45,74.85,6.74,29.19,86.13,149.7,new alluvial,mustard
89.0,33.32,70.94,7.37,30.98,83.73,116.57,new alluvial,mustard
100.05,26.33,61.12,6.95,28.75,84.2,135.04,new alluvial,mustard
106.86,32.14,72.02,6.69,29.62,72.27,144.48,new alluvial,mustard
103.53,23.51,54.2,6.88,29.69,74.64,102.79,alluvial,mustard
95.75,29.06,68.14,6.79,32.33,82.57,148.97,new alluvial,mustard
102.99,32.6,74.49,6.83,29.69,74.07,176.71,new alluvial,mustard
107.02,27.28,53.58,7.02,29.87,87.55,125.55,new alluvial,mustard
98.86,27.72,45.35,6.47,29.19,76.01,146.7,new alluvial,mustard
105.02,19.3,51.2,6.68,24.45,76.03,99.28,new alluvial,mustard
95.99,24.48,87.48,6.98,30.49,61.41,167.67,alluvial,mustard
113.42,32.08,83.94,6.81,31.55,82.08,143.2,new alluvial,mustard
116.1,28.15,68.73,6.82,32.76,76.14,129.96,new alluvial,mustard
108.87,25.54,74.47,6.93,27.85,76.57,148.23,new alluvial,mustard
82.53,35.8,58.22,6.78,30.09,82.86,75.61,new alluvial,mustard
95.46,23.89,48.62,6.59,29.5,96.72,107.48,new alluvial,mustard
97.14,26.33,61.64,6.14,30.52,89.43,130.96,new alluvial,mustard
93.73,19.95,65.15,6.71,28.51,82.9,152.6,new alluvial,mustard
93.58,30.86,63.83,6.89,29.99,80.95,184.18,new alluvial,mustard
104.91,24.16,89.15,7.64,29.5,78.75,150.18,alluvial,mustard
85.4,35.08,55.23,6.74,31.13,82.44,162.83,alluvial,mustard
86.32,27.11,56.06,6.75,29.31,83.89,135.56,alluvial,mustard
98.36,20.74,58.34,6.59,30.46,82.06,135.07,new alluvial,mustard
93.22,29.98,49.45,6.43,32.06,80.25,120.9,new alluvial,mustard
99.1,27.16,78.37,6.44,30.0,79.53,111.55,new alluvial,mustard
85.09,32.44,72.66,6.67,31.28,74.0,137.34,new alluvial,mustard
90.83,27.04,67.37,6.49,31.87,76.08,139.86,new alluvial,mustard
78.84,19.05,48.79,6.81,28.17,76.21,125.89,alluvial,mustard
92.79,29.23,57.73,6.59,29.99,76.73,167.5,new alluvial,mustard
93.81,26.22,51.78,6.32,32.53,70.76,107.73,alluvial,mustard
86.09,31.45,62.4,6.71,28.39,73.35,107.74,new alluvial,mustard
84.69,31.32,64.94,7.06,30.59,78.16,121.21,new alluvial,mustard
128.84,23.34,41.1,5.71,29.28,75.52,127.0,new alluvial,mustard
95.24,24.95,44.54,6.68,31.41,80.58,129.14,new alluvial,mustard
114.04,33.93,66.99,6.7,30.56,77.17,167.25,new alluvial,mustard
95.48,27.5,44.6,6.71,31.25,75.17,132.39,new alluvial,mustard
118.95,22.73,57.49,6.5,29.27,78.64,131.02,new alluvial,mustard
104.29,34.28,59.99,6.37,28.42,81.32,153.91,new alluvial,mustard
103.18,39.74,58.17,6.15,29.56,83.33,119.59,alluvial,mustard
102.49,30.89,70.32,7.07,27.67,85.11,109.87,new alluvial,mustard
103.79,24.99,71.88,6.88,31.0,74.06,145.13,new alluvial,mustard
77.85,32.65,55.27,7.2,31.96,83.39,110.48,new alluvial,mustard
102.08,36.81,50.05,6.42,31.05,78.92,131.32,new alluvial,mustard
109.21,31.76,51.15,6.33,32.74,80.6,180.33,new alluvial,mustard
81.34,37.83,62.39,6.89,30.36,77.67,106.95,new alluvial,mustard
94.46,20.52,74.09,6.55,28.96,76.72,136.05,new alluvial,mustard
119.65,30.58,45.62,6.5,33.14,75.42,117.42,new alluvial,mustard
106.28,29.39,85.98,6.03,32.25,82.23,150.39,new alluvial,mustard
49.02,36.49,69.81,6.52,28.45,86.31,94.48,sandy loam,mustard
83.16,30.73,50.25,6.26,28.57,75.45,136.98,new alluvial,mustard
100.22,30.5,72.02,7.06,31.5,82.28,175.7,new alluvial,mustard
87.24,32.79,75.78,6.95,35.25,87.58,156.87,alluvial,mustard
99.31,16.83,67.15,6.59,29.54,82.56,148.3,alluvial,mustard
87.52,23.15,70.5,7.24,28.04,73.68,95.51,new alluvial,mustard
84.39,31.27,55.15,6.97,33.03,79.46,105.02,alluvial,mustard
90.32,36.57,54.45,6.47,29.96,79.93,124.32,new alluvial,mustard
89.54,29.82,85.07,6.91,28.17,81.3,157.73,new alluvial,mustard
101.62,25.99,44.98,6.62,30.17,75.65,133.75,new alluvial,mustard
103.24,32.02,56.5,6.55,28.58,83.22,161.21,new alluvial,mustard
102.44,32.43,58.72,6.91,32.5,86.9,163.57,new alluvial,mustard
102.12,20.11,57.51,6.71,30.63,77.79,153.89,new alluvial,mustard
93.43,23.11,61.91,7.35,27.67,83.17,135.29,alluvial,mustard
101.5,33.38,48.78,7.03,30.03,83.1,146.74,alluvial,mustard
102.58,31.29,69.49,6.93,29.75,81.75,123.69,alluvial,mustard
87.52,37.28,59.85,6.97,30.3,68.29,137.59,alluvial,mustard
96.23,36.55,57.69,6.63,27.78,75.57,163.23,new alluvial,mustard
73.5,34.5,66.15,6.61,32.21,83.36,127.26,alluvial,mustard
98.56,34.16,62.37,6.22,28.83,85.11,155.01,new alluvial,mustard
97.09,33.57,75.41,6.53,30.39,78.22,149.6,alluvial,mustard
93.94,29.76,67.46,6.63,31.08,77.63,71.33,new alluvial,mustard
100.76,31.29,64.35,6.47,30.43,75.83,118.75,new alluvial,mustard
104.32,22.8,58.29,7.74,29.96,86.67,155.67,new alluvial,mustard
102.11,23.47,53.2,6.19,32.42,72.1,135.04,new alluvial,mustard
86.32,27.9,57.89,7.02,28.88,90.56,152.39,alluvial,mustard
98.63,30.15,60.44,6.66,28.78,82.03,168.18,new alluvial,mustard
59.58,16.35,68.96,6.6,29.16,82.12,149.64,new alluvial,mustard
99.99,29.45,52.24,6.91,29.18,72.57,108.3,new alluvial,mustard
105.64,30.58,58.84,6.72,29.32,74.37,141.74,new alluvial,mustard
107.12,27.76,53.98,7.17,29.07,85.24,128.02,new alluvial,mustard
82.8,26.13,50.13,6.66,33.32,79.79,143.59,alluvial,mustard
100.72,30.63,47.47,6.27,33.41,84.11,125.86,new alluvial,mustard
100.83,23.14,67.98,6.59,28.39,80.9,139.93,new alluvial,mustard
100.35,29.68,75.13,6.93,30.5,73.63,120.74,new alluvial,mustard
109.23,29.17,83.19,6.59,29.26,85.42,160.89,new alluvial,mustard
101.58,35.26,72.9,6.64,28.4,82.25,171.38,new alluvial,mustard
100.3,27.67,77.6,6.89,30.46,77.16,131.98,new alluvial,mustard
95.07,34.51,62.6,7.04,31.44,82.45,153.93,alluvial,mustard
86.67,35.18,57.28,6.56,32.6,73.79,119.82,new alluvial,mustard
99.03,36.61,67.28,6.37,29.0,77.09,155.79,new alluvial,mustard
103.65,35.22,75.84,7.01,31.45,70.22,168.69,new alluvial,mustard
108.07,27.91,57.73,6.63,27.93,78.08,128.32,alluvial,mustard
96.38,34.83,74.84,6.52,28.08,77.42,125.77,new alluvial,mustard
104.61,34.93,76.13,6.36,28.01,85.48,140.26,new alluvial,mustard
93.99,30.44,58.85,7.0,31.3,83.47,110.88,alluvial,mustard
98.08,29.44,60.94,7.08,27.86,72.64,128.94,new alluvial,mustard
92.17,35.0,46.53,6.35,29.42,77.37,88.21,silty clay,mustard
98.14,18.48,57.81,6.45,31.44,80.5,148.16,new alluvial,mustard
89.5,30.82,69.52,6.76,26.57,80.29,134.87,new alluvial,mustard
101.29,21.94,65.4,6.13,30.84,78.95,96.89,new alluvial,mustard
103.18,32.07,57.31,6.67,32.18,83.8,158.38,new alluvial,mustard
115.21,26.9,76.28,6.52,28.42,78.77,112.4,new alluvial,mustard
88.4,19.75,71.49,6.81,30.74,79.81,152.38,new alluvial,mustard
93.32,34.05,52.99,6.89,29.12,83.78,141.04,alluvial,mustard
105.71,32.13,47.05,6.5,29.45,78.2,136.28,alluvial,mustard
95.27,28.59,45.28,6.37,32.07,78.49,134.33,new alluvial,mustard
88.99,29.86,73.76,6.69,32.63,81.32,122.74,alluvial,mustard
105.13,27.38,72.54,6.82,31.19,78.2,118.7,new alluvial,mustard
99.62,29.53,58.85,6.97,28.55,78.47,180.79,alluvial,mustard
89.24,26.62,33.59,6.93,31.44,73.2,127.63,new alluvial,mustard
93.91,32.0,67.96,6.71,31.14,75.82,91.54,alluvial,mustard
115.07,25.14,53.6,6.6,35.24,85.99,161.19,new alluvial,mustard
102.43,28.76,70.98,6.42,32.82,80.0,150.39,new alluvial,mustard
105.26,19.82,71.89,6.82,28.85,82.62,144.87,new alluvial,mustard
108.53,36.59,55.0,6.59,31.85,77.25,119.65,new alluvial,mustard
106.93,25.41,66.13,6.65,30.89,85.19,131.25,new alluvial,mustard
115.51,25.84,54.76,6.66,30.26,78.83,146.8,new alluvial,mustard
96.52,30.99,66.9,7.01,33.0,86.29,162.67,alluvial,mustard
101.85,35.41,67.71,6.51,28.65,80.94,149.56,new alluvial,mustard
91.51,26.32,52.63,6.34,30.54,70.16,142.07,alluvial,mustard
87.9,30.3,76.36,6.96,31.19,78.99,104.36,new alluvial,mustard
91.61,26.8,69.13,6.98,29.93,81.15,118.35,alluvial,mustard
103.64,29.21,48.1,5.71,33.5,78.78,136.52,alluvial,mustard
90.06,31.33,57.24,6.93,29.88,73.7,165.41,new alluvial,mustard
111.24,32.99,55.33,6.66,27.88,83.46,165.17,new alluvial,mustard
94.01,20.66,52.25,7.03,30.19,76.66,137.56,new alluvial,mustard
90.2,32.78,58.2,7.07,31.23,71.62,131.73,alluvial,mustard
99.7,29.56,63.85,6.56,29.86,80.16,145.5,new alluvial,mustard
102.76,29.79,63.72,6.51,29.4,80.32,163.67,alluvial,mustard
110.95,29.49,55.47,6.24,29.87,76.27,144.24,new alluvial,mustard
104.49,26.79,80.58,6.21,34.91,81.17,148.11,new alluvial,mustard
91.99,35.84,72.84,6.4,30.06,71.86,124.31,alluvial,mustard
99.89,39.14,72.82,6.78,28.78,79.53,142.13,new alluvial,mustard
99.7,26.34,49.73,6.72,29.69,82.61,135.32,new alluvial,mustard
95.58,21.26,70.88,6.4,33.3,77.94,130.56,alluvial,mustard
104.28,31.82,71.33,6.73,30.87,84.44,129.27,new alluvial,mustard
89.2,20.65,63.22,6.71,32.23,75.43,129.4,new alluvial,mustard
77.54,26.75,63.78,6.75,32.15,74.28,113.88,new alluvial,mustard
100.71,21.41,66.69,6.59,30.05,80.2,135.41,alluvial,mustard
98.77,28.42,58.87,6.57,31.63,80.47,119.31,new alluvial,mustard
92.6,36.0,91.07,6.93,27.87,81.69,86.13,peat,mustard
95.27,33.72,68.5,6.06,28.18,70.12,85.6,new alluvial,mustard
89.14,19.42,66.48,6.79,28.91,81.45,120.69,new alluvial,mustard
116.89,28.78,48.02,6.31,30.49,80.1,173.75,new alluvial,mustard
94.56,24.46,54.68,6.46,28.44,80.86,145.57,alluvial,mustard
91.61,27.06,69.11,6.73,28.57,80.5,146.55,new alluvial,mustard
84.7,35.74,86.67,7.11,31.71,76.8,118.75,new alluvial,mustard
102.34,31.02,64.86,6.77,30.13,84.23,126.33,alluvial,mustard
112.49,41.96,61.14,7.16,29.05,82.47,135.75,alluvial,mustard
83.64,28.94,60.95,7.23,24.73,62.96,141.72,clay loam,okra
74.15,35.44,56.09,7.14,21.99,77.46,138.11,silty clay,okra
51.18,20.92,59.24,7.05,23.16,71.99,111.38,silty clay,okra
69.41,31.59,54.03,6.79,23.21,74.7,137.58,clay loam,okra
62.74,26.48,50.64,7.31,23.35,70.4,120.19,new alluvial,okra
72.73,34.07,68.02,7.24,24.28,84.89,141.87,silty clay,okra
63.51,28.58,54.54,6.99,23.22,79.68,119.47,clay loam,okra
73.58,30.04,69.82,7.84,26.46,71.47,192.83,new alluvial,okra
63.27,29.02,64.98,7.02,22.46,73.87,155.5,clay loam,okra
78.94,19.01,59.28,6.74,26.98,76.94,122.22,new alluvial,okra
74.87,29.05,51.54,7.26,25.14,80.19,151.69,new alluvial,okra
68.05,24.4,71.26,7.41,22.66,81.42,153.19,silty clay,okra
67.08,29.39,61.17,6.54,23.1,77.87,135.08,new alluvial,okra
46.39,22.74,57.32,6.96,24.95,77.75,117.3,silty clay,okra
58.81,24.51,51.76,7.0,23.66,76.63,111.65,new alluvial,okra
76.42,22.8,61.78,7.98,22.63,84.42,136.92,new alluvial,okra
61.1,30.17,61.81,6.51,23.59,86.88,114.49,new alluvial,okra
62.52,21.35,44.74,7.2,23.88,78.5,136.53,silty clay,okra
74.84,25.15,60.21,6.9,22.5,83.01,73.08,new alluvial,okra
70.81,23.1,71.54,7.26,23.14,82.35,84.35,clay loam,okra
65.81,33.47,64.52,7.08,24.09,86.39,133.4,clay loam,okra
66.99,27.2,59.61,6.86,24.54,69.73,152.08,new alluvial,okra
78.28,24.51,69.53,7.49,24.08,83.89,129.25,silty clay,okra
66.34,30.36,88.21,6.96,22.54,80.32,124.63,clay loam,okra
54.3,27.89,67.7,7.2,27.0,73.93,77.96,new alluvial,okra
67.72,30.19,54.49,6.77,24.17,76.1,165.39,new alluvial,okra
56.77,22.79,62.82,7.26,24.44,81.16,105.45,silty clay,okra
68.18,23.12,48.57,7.14,24.42,83.69,155.12,new alluvial,okra
84.21,35.7,57.64,7.32,24.14,69.26,125.05,silty clay,okra
80.28,28.19,45.46,7.18,25.55,80.26,158.46,clay loam,okra
66.53,26.29,73.92,6.99,24.25,79.2,134.13,clay loam,okra
78.88,23.45,75.04,7.19,26.15,75.88,166.86,new alluvial,okra
79.96,27.14,59.86,7.32,26.78,74.44,135.29,new alluvial,okra
53.58,25.47,61.0,6.71,24.38,84.14,139.54,silty clay,okra
50.99,32.39,53.66,7.34,25.84,82.88,149.82,new alluvial,okra
68.65,21.89,49.2,7.51,25.06,81.51,169.55,clay loam,okra
56.88,23.41,56.74,6.95,23.11,80.95,161.71,clay loam,okra
79.21,20.33,59.83,7.12,21.57,83.74,103.79,clay loam,okra
55.55,22.86,49.44,7.11,23.17,75.57,147.9,new alluvial,okra
67.51,21.75,65.63,7.25,25.93,70.08,137.83,new alluvial,okra
69.07,25.0,50.35,6.62,22.84,75.37,138.84,clay loam,okra
76.59,20.8,61.86,7.08,23.96,80.63,148.7,silty clay,okra
62.59,30.23,58.91,7.22,21.86,83.53,122.13,clay loam,okra
57.58,27.28,67.72,7.36,26.61,84.13,129.91,silty clay,okra
54.37,25.87,64.68,7.34,21.8,83.79,84.18,sandy loam,okra
55.81,22.24,65.19,6.92,23.76,81.34,145.39,new alluvial,okra
92.99,23.37,37.76,6.76,22.88,72.57,125.31,silty clay,okra
49.08,29.14,64.93,7.2,27.93,68.58,101.66,silty clay,okra
42.13,22.69,79.37,7.09,24.14,75.08,151.58,silty clay,okra
67.28,28.83,61.05,7.27,24.25,74.11,135.09,silty clay,okra
72.22,22.83,65.4,6.81,25.53,67.64,129.53,new alluvial,okra
81.22,35.88,76.65,7.25,24.61,75.61,151.19,silty clay,okra
61.56,28.14,62.25,7.62,22.9,81.73,134.95,silty clay,okra
60.86,29.46,45.22,6.51,23.78,74.64,142.67,clay loam,okra
61.11,34.58,80.64,7.15,20.24,82.24,114.38,clay loam,okra
76.78,24.51,73.14,7.09,23.88,75.32,132.41,silty clay,okra
73.09,29.34,52.02,7.05,23.01,78.94,116.4,silty clay,okra
61.63,29.95,62.26,7.74,23.79,75.04,134.13,silty clay,okra
81.86,28.0,71.18,7.11,23.58,86.26,155.76,new alluvial,okra
71.34,25.34,70.04,7.06,21.75,68.02,127.2,new alluvial,okra
68.26,24.31,61.8,7.48,22.67,76.77,138.36,clay loam,okra
65.07,26.92,54.76,6.72,23.5,82.54,124.34,silty clay,okra
59.53,22.18,66.86,7.01,25.04,77.55,118.66,silty clay,okra
71.35,25.67,70.82,6.78,24.61,74.59,110.12,silty clay,okra
56.57,33.23,61.21,6.89,21.49,79.66,142.7,clay loam,okra
47.34,13.49,64.65,7.0,24.65,84.15,161.74,new alluvial,okra
63.65,24.7,58.4,7.2,26.23,77.06,118.55,silty clay,okra
52.69,26.86,61.08,7.1,24.5,67.96,114.07,silty clay,okra
92.3,21.84,75.34,7.12,21.53,80.53,160.73,clay loam,okra
75.16,29.77,56.28,6.95,22.14,68.14,154.46,new alluvial,okra
64.46,18.91,48.1,7.03,23.63,75.68,105.47,silty clay,okra
70.3,28.39,78.06,6.89,21.88,72.63,148.21,new alluvial,okra
53.59,26.61,54.19,6.93,23.59,75.45,142.42,clay loam,okra
89.07,33.16,63.13,6.91,23.58,64.01,164.07,new alluvial,okra
61.69,29.08,48.21,6.64,22.75,80.26,125.2,clay loam,okra
72.28,23.32,73.94,7.07,23.24,80.26,152.81,clay loam,okra
62.04,19.26,44.72,7.15,25.18,69.94,131.13,new alluvial,okra
57.58,29.26,74.02,7.1,22.79,74.48,141.45,silty clay,okra
65.99,24.11,73.25,7.15,24.66,75.36,133.85,new alluvial,okra
56.94,25.22,56.68,7.07,24.33,76.17,139.29,new alluvial,okra
74.99,25.02,59.96,7.34,22.42,78.4,115.98,silty clay,okra
80.4,24.38,77.33,7.17,24.26,76.34,163.83,silty clay,okra
72.72,25.95,47.11,7.21,23.99,83.28,110.06,new alluvial,okra
76.21,28.96,52.41,7.39,26.3,80.84,145.75,clay loam,okra
68.43,36.02,73.89,7.11,23.03,83.55,118.83,new alluvial,okra
65.65,35.59,70.11,6.95,25.23,79.78,138.72,silty clay,okra
59.68,27.23,56.66,7.2,22.69,84.44,164.77,new alluvial,okra
76.41,20.62,60.12,6.92,25.53,67.67,158.5,new alluvial,okra
71.01,30.08,69.57,7.19,23.24,82.1,108.65,clay loam,okra
66.69,20.52,50.69,6.7,22.22,75.51,157.04,silty clay,okra
54.69,29.12,62.37,7.3,24.26,83.19,153.13,silty clay,okra
57.77,21.02,46.14,7.18,24.2,78.92,163.79,clay loam,okra
49.74,20.66,70.39,6.8,26.87,67.23,97.48,clay loam,okra
66.41,29.93,72.57,7.34,25.52,71.88,117.91,silty clay,okra
57.76,21.59,55.71,7.07,26.15,73.58,108.26,clay loam,okra
73.27,25.03,71.16,6.77,24.77,82.93,149.24,new alluvial,okra
61.08,32.16,72.15,6.9,25.01,77.19,153.1,new alluvial,okra
64.52,25.27,67.95,6.97,26.43,85.23,117.97,silty clay,okra
65.93,35.88,61.7,7.62,23.37,73.2,150.18,silty clay,okra
47.1,27.72,70.39,7.56,25.95,81.04,135.74,clay loam,okra
71.01,26.48,59.26,7.37,23.52,84.01,145.97,clay loam,okra
71.14,27.66,62.18,7.04,24.85,80.83,151.63,silty clay,okra
67.98,29.26,59.32,7.11,25.59,75.22,165.99,clay loam,okra
47.65,31.15,67.02,7.17,24.33,74.62,143.72,new alluvial,okra
82.77,31.04,45.34,6.53,24.47,80.46,113.84,clay loam,okra
85.03,26.88,51.25,7.0,27.54,88.89,142.97,silty clay,okra
56.81,20.87,90.23,7.25,25.91,77.11,127.68,clay loam,okra
67.53,35.73,63.42,7.32,21.07,73.02,163.78,clay loam,okra
44.21,22.74,68.59,7.01,22.77,83.25,116.87,silty clay,okra
64.73,36.57,67.66,7.27,25.1,83.22,150.72,clay loam,okra
64.65,32.47,80.9,6.91,21.33,79.39,136.25,clay loam,okra
71.42,27.4,60.13,6.93,24.13,82.63,112.91,clay loam,okra
73.79,30.83,59.53,6.9,24.74,72.98,114.59,clay loam,okra
71.21,22.36,52.39,6.99,25.18,79.9,131.01,silty clay,okra
70.24,30.78,63.58,7.07,24.4,77.91,187.58,new alluvial,okra
60.23,25.5,50.83,7.04,23.53,75.44,93.13,silty clay,okra
57.67,27.14,58.57,7.12,22.92,71.52,134.98,new alluvial,okra
61.25,17.33,55.61,6.5,22.29,76.3,130.48,clay loam,okra
73.82,32.97,70.0,7.07,23.09,80.62,121.12,silty clay,okra
57.21,32.71,74.13,6.85,26.26,82.72,124.76,clay loam,okra
60.3,22.02,32.63,7.1,22.73,80.16,144.14,silty clay,okra
69.56,22.88,54.47,7.66,23.29,72.47,130.04,clay loam,okra
57.08,27.69,75.86,7.11,24.37,78.52,89.23,clay loam,okra
76.5,27.51,78.58,6.95,23.98,79.38,132.77,clay loam,okra
85.56,27.68,59.01,7.24,24.35,76.58,121.88,silty clay,okra
69.86,26.98,86.38,7.27,20.52,74.82,105.79,clay loam,okra
77.25,32.1,48.19,7.26,24.47,87.27,154.11,clay loam,okra
49.59,34.81,61.01,7.13,24.65,74.74,136.5,silty clay,okra
51.38,31.57,44.13,6.32,22.15,84.4,129.26,new alluvial,okra
55.87,32.74,64.2,7.03,24.12,87.18,164.16,new alluvial,okra
79.37,26.01,51.18,6.83,24.42,80.37,163.34,new alluvial,okra
78.66,33.12,72.12,6.83,25.61,74.05,130.89,silty clay,okra
75.72,21.96,56.51,6.83,23.86,87.83,119.26,new alluvial,okra
69.5,22.74,69.73,6.59,24.59,84.56,143.74,silty clay,okra
70.6,24.44,69.34,6.96,23.81,74.24,103.94,clay loam,okra
62.39,31.55,74.45,6.83,23.31,77.17,134.41,new alluvial,okra
45.3,41.53,84.96,6.97,24.13,75.91,139.22,clay loam,okra
53.09,28.52,42.99,6.72,25.36,79.12,169.2,silty clay,okra
44.32,23.41,93.57,7.28,16.23,61.46,65.29,silty clay,okra
73.28,29.74,81.84,7.18,24.43,82.31,177.12,new alluvial,okra
65.26,29.58,55.91,6.65,22.84,85.73,118.03,new alluvial,okra
62.68,32.52,40.09,7.36,26.08,86.23,152.53,new alluvial,okra
68.89,36.1,49.41,6.87,24.09,73.38,142.81,silty clay,okra
55.3,30.13,69.79,6.86,22.68,77.84,151.23,clay loam,okra
50.94,15.93,71.59,7.3,23.62,74.74,139.56,silty clay,okra
88.46,32.61,56.17,7.39,23.17,81.11,127.23,new alluvial,okra
